dataset_name,site,treatment,activity_media_name,stream_name,activity_start_date,activity_depth_height_measure,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,layer_collection_start_depth,layer_collection_end_depth,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,field_comment
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",DIC,,as Total CO2,Dissolved,147.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",DIC,,as Total CO2,Dissolved,157.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",DIC,,as Total CO2,Dissolved,227.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",DIC,,as Total CO2,Dissolved,184.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",DOC,,as C,Filterable,1871.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",DOC,,as C,Filterable,1488.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",DOC,,as C,Filterable,2910.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",DOC,,as C,Filterable,594.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",FE,,as Fe,Filterable,0.04000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",FE,,as Fe,Filterable,0.48000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",FE,,as Fe,Filterable,0.50000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",FE,,as Fe,Filterable,0.34000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",K,,as K,Filterable,0.11000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",K,,as K,Filterable,0.25000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",K,,as K,Filterable,0.35000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",K,,as K,Filterable,0.47000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",MG,,as Mg,Filterable,0.82000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",MG,,as Mg,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",MG,,as Mg,Filterable,0.62000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",MG,,as Mg,Filterable,0.61000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",NA,,as Na,Filterable,1.11000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",NA,,as Na,Filterable,0.90000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",NA,,as Na,Filterable,0.79000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",NA,,as Na,Filterable,1.68000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",NO2,,as NO2-N,Filterable,2.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",NO2,,as NO2-N,Filterable,1.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",NO2,,as NO2-N,Filterable,3.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",NO2,,as NO2-N,Filterable,1.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",NO3,,as NO3-N,Filterable,15.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",NO3,,as NO3-N,Filterable,0.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",NO3,,as NO3-N,Filterable,32.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",NO3,,as NO3-N,Filterable,33.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",PARTC,,as C,Non-Filterable (Particle),328.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",PARTC,,as C,Non-Filterable (Particle),683.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",PARTC,,as C,Non-Filterable (Particle),1416.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",PARTC,,as C,Non-Filterable (Particle),1363.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",PARTN,,as N,Non-Filterable (Particle),79.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",PARTN,,as N,Non-Filterable (Particle),169.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",PARTN,,as N,Non-Filterable (Particle),0.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",PARTN,,as N,Non-Filterable (Particle),27.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",PARTP,,as P,Non-Filterable (Particle),3.00000,ug/L,,,1,"",Method Detection Level,"","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",PARTP,,as P,Non-Filterable (Particle),9.00000,ug/L,,,1,"",Method Detection Level,"","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",PARTP,,as P,Non-Filterable (Particle),3.00000,ug/L,,,1,"",Method Detection Level,"","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",PARTP,,as P,Non-Filterable (Particle),6.00000,ug/L,,,1,"",Method Detection Level,"","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,,PH,,,Unfiltered,6.96000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,,PH,,,Unfiltered,5.01000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,,PH,,,Unfiltered,4.92000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,,PH,,,Unfiltered,5.96000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",SO4,,as SO4,Filterable,1.80000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",SO4,,as SO4,Filterable,2.56000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",SO4,,as SO4,Filterable,1.18000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",SO4,,as SO4,Filterable,2.24000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",SRSI,,as Si,Unfiltered,2.16500,mg/L,,,0.005,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",SRSI,,as Si,Unfiltered,3.73100,mg/L,,,0.005,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",SRSI,,as Si,Unfiltered,4.88500,mg/L,,,0.005,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",SRSI,,as Si,Unfiltered,4.19000,mg/L,,,0.005,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",TDN,,as N,Dissolved,486.00000,ug/L,,,5,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",TDN,,as N,Dissolved,657.00000,ug/L,,,5,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",TDN,,as N,Dissolved,634.00000,ug/L,,,5,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",TDN,,as N,Dissolved,267.00000,ug/L,,,5,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-11,,"",TDP,,as P,Dissolved,4.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-11,,"",TDP,,as P,Dissolved,11.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-11,,"",TDP,,as P,Dissolved,9.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-11,,"",TDP,,as P,Dissolved,15.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-19,,"",ALK,,alkalinity,"",0.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-19,,"",ALK,,alkalinity,"",88.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-19,,"",ALK,,alkalinity,"",18.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-19,,"",ALK,,alkalinity,"",152.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-19,,"",CA,,as Ca,Filterable,2.75000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-19,,"",CA,,as Ca,Filterable,1.62000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-19,,"",CA,,as Ca,Filterable,1.52000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-19,,"",CA,,as Ca,Filterable,2.94000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-19,,"",CHLA,,"",Filterable,0.33000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-19,,"",CHLA,,"",Filterable,0.22000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-19,,"",CHLA,,"",Filterable,0.04000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-19,,"",CHLA,,"",Filterable,3.57000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-19,,"",CL,,as Cl,Filterable,0.25000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-19,,"",CL,,as Cl,Filterable,0.10000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-19,,"",CL,,as Cl,Filterable,0.07000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-19,,"",CL,,as Cl,Filterable,0.10000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamC - inflow to Site1 lake,2015-05-19,,"",COND,,"",Unfiltered,21.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamB - inflow to Site1 lake,2015-05-19,,"",COND,,"",Unfiltered,25.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamA - inflow to Site1 lake,2015-05-19,,"",COND,,"",Unfiltered,24.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-19,,"",COND,,"",Unfiltered,27.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site1,none (reference/control),Stream Water,StreamD - outflow from Site1 lake,2015-05-19,,"",DIC,,as Total CO2,Dissolved,189.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
