dataset_name,site,treatment,activity_media_name,activity_start_date,activity_depth_height_measure,activity_depth_height_unit,characteristic_name,characteristic_name_long,method_speciation,result_sample_fraction,result_value,result_unit,layer_collection_start_depth,layer_collection_end_depth,result_detection_quantitation_limit_measure,result_detection_quantitation_limit_unit,result_detection_quantitation_limit_type,result_comment,result_analytical_method_name,result_analytical_method_instrument,result_analytical_reference_method,field_comment
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,K,,as K,Filterable,0.21000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,K,,as K,Filterable,0.23000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,MG,,as Mg,Filterable,0.49000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,MG,,as Mg,Filterable,0.50000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,NA,,as Na,Filterable,0.86000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,NA,,as Na,Filterable,0.88000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,NO2,,as NO2-N,Filterable,0.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,NO2,,as NO2-N,Filterable,0.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,NO3,,as NO3-N,Filterable,2.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,NO3,,as NO3-N,Filterable,3.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,PARTC,,as C,Non-Filterable (Particle),1391.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,PARTC,,as C,Non-Filterable (Particle),1327.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,PARTN,,as N,Non-Filterable (Particle),191.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,PARTN,,as N,Non-Filterable (Particle),198.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,PARTP,,as P,Non-Filterable (Particle),19.00000,ug/L,,,1,"",Method Detection Level,"","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,PARTP,,as P,Non-Filterable (Particle),20.00000,ug/L,,,1,"",Method Detection Level,"","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,PH,,,Unfiltered,6.51000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,PH,,,Unfiltered,6.48000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,SO4,,as SO4,Filterable,1.22000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,SO4,,as SO4,Filterable,1.16000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,SRSI,,as Si,Unfiltered,0.50800,mg/L,,,0.005,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,SRSI,,as Si,Unfiltered,0.52800,mg/L,,,0.005,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,TDN,,as N,Dissolved,333.00000,ug/L,,,5,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,TDN,,as N,Dissolved,313.00000,ug/L,,,5,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,TDP,,as P,Dissolved,6.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-05-19,,epi,TDP,,as P,Dissolved,6.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,ALK,,alkalinity,"",79.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,ALK,,alkalinity,"",80.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,CA,,as Ca,Filterable,1.56000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,CA,,as Ca,Filterable,1.60000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,CHLA,,"",Filterable,3.29000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,CHLA,,"",Filterable,3.74000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,CL,,as Cl,Filterable,0.22000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,CL,,as Cl,Filterable,0.23000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,COND,,"",Unfiltered,17.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,COND,,"",Unfiltered,17.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,DIC,,as Total CO2,Dissolved,103.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,DIC,,as Total CO2,Dissolved,107.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,DOC,,as C,Filterable,724.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,DOC,,as C,Filterable,729.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,FE,,as Fe,Filterable,0.04000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,FE,,as Fe,Filterable,0.04000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,K,,as K,Filterable,0.25000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,K,,as K,Filterable,0.23000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,MG,,as Mg,Filterable,0.50000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,MG,,as Mg,Filterable,0.51000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,NA,,as Na,Filterable,0.92000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,NA,,as Na,Filterable,0.94000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,NO2,,as NO2-N,Filterable,0.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,NO2,,as NO2-N,Filterable,0.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,NO3,,as NO3-N,Filterable,1.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,NO3,,as NO3-N,Filterable,2.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,PARTC,,as C,Non-Filterable (Particle),1301.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,PARTC,,as C,Non-Filterable (Particle),1573.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,PARTN,,as N,Non-Filterable (Particle),145.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,PARTN,,as N,Non-Filterable (Particle),175.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,PARTP,,as P,Non-Filterable (Particle),17.00000,ug/L,,,1,"",Method Detection Level,"","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,PARTP,,as P,Non-Filterable (Particle),19.00000,ug/L,,,1,"",Method Detection Level,"","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,PH,,,Unfiltered,6.53000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,PH,,,Unfiltered,6.49000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,SO4,,as SO4,Filterable,1.29000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,SO4,,as SO4,Filterable,1.28000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,SRSI,,as Si,Unfiltered,0.44700,mg/L,,,0.005,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,SRSI,,as Si,Unfiltered,0.46000,mg/L,,,0.005,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,TDN,,as N,Dissolved,304.00000,ug/L,,,5,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,TDN,,as N,Dissolved,291.00000,ug/L,,,5,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,TDP,,as P,Dissolved,8.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-01,,epi,TDP,,as P,Dissolved,9.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,ALK,,alkalinity,"",99.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,ALK,,alkalinity,"",98.00000,ueq/L,,,,"",Method Detection Level,"","","","The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,CA,,as Ca,Filterable,1.66000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,CA,,as Ca,Filterable,1.67000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,CHLA,,"",Filterable,23.96000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,CHLA,,"",Filterable,25.27000,ug/L,,,0.01,"",Method Detection Level,"","",Fluorometric-Method,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,CL,,as Cl,Filterable,0.20000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,CL,,as Cl,Filterable,0.22000,mg/L,,,0.01,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,COND,,"",Unfiltered,16.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,COND,,"",Unfiltered,16.00000,uS/cm,,,1,"",Method Detection Level,"","",Radiometer CDM 3,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,DIC,,as Total CO2,Dissolved,49.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,DIC,,as Total CO2,Dissolved,51.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,DOC,,as C,Filterable,715.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,DOC,,as C,Filterable,720.00000,umol/L,,,10,"",Method Detection Level,"","",Automated conductimetric technique,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,FE,,as Fe,Filterable,0.02000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,FE,,as Fe,Filterable,0.03000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,K,,as K,Filterable,0.20000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,K,,as K,Filterable,0.21000,mg/L,,,0.02,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,MG,,as Mg,Filterable,0.54000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,MG,,as Mg,Filterable,0.54000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,MN,,as Mn,Filterable,0.00000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,NA,,as Na,Filterable,0.98000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,NA,,as Na,Filterable,0.99000,mg/L,,,0.01,"",Method Detection Level,"","",Atomic-Absorption,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,NO2,,as NO2-N,Filterable,1.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,NO2,,as NO2-N,Filterable,1.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,NO3,,as NO3-N,Filterable,0.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,NO3,,as NO3-N,Filterable,1.00000,ug/L,,,1,"",Method Detection Level,"","",Technicon Autoanalyzer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,PARTC,,as C,Non-Filterable (Particle),2356.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,PARTC,,as C,Non-Filterable (Particle),2378.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,PARTN,,as N,Non-Filterable (Particle),369.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,PARTN,,as N,Non-Filterable (Particle),497.00000,ug/L,,,1,"",Method Detection Level,"","",Photocombustion,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,PARTP,,as P,Non-Filterable (Particle),32.00000,ug/L,,,1,"",Method Detection Level,"","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,PARTP,,as P,Non-Filterable (Particle),24.00000,ug/L,,,1,"",Method Detection Level,"","",Spectrophotometer,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,PH,,,Unfiltered,7.91000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,PH,,,Unfiltered,7.68000,SU,,,,,,,ELA-pH (in-situ),pH Meter (see method for differentiation),"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,SO4,,as SO4,Filterable,1.32000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
Chemistry,Site4,fertilized,Lake Water,2015-06-15,,epi,SO4,,as SO4,Filterable,1.27000,mg/L,,,0.02,"",Method Detection Level,"","",Ion Exchange Column,"The Chemical Analysis of Fresh Water, 1977",
