dataset_name,site,stream_name,activity_media_name,activity_start_date,date_type,mean_daily_discharge,result_unit,qualifier,comments,version,update_date
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-19,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-20,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-21,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-22,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-23,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-24,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-25,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-26,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-27,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-28,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-29,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-30,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-01-31,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-01,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-02,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-03,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-04,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-05,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-06,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-07,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-08,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-09,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-10,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-11,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-12,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-13,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-14,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-15,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-16,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-17,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-18,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-19,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-20,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-21,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-22,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-23,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-24,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-25,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-26,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-27,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-02-28,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-01,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-02,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-03,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-04,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-05,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-06,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-07,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-08,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-09,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-10,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-11,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-12,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-13,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-14,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-15,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-16,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-17,mean_date,0.0000,cubic metres per second reported to four decimal places,manual gauge observation:  Indicates that the stated value is an estimate based on one or more readings or in combination with partial recorded record.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-18,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-19,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-20,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-21,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-22,mean_date,0.0000,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-23,mean_date,0.0010,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-24,mean_date,0.0010,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-25,mean_date,0.0010,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-26,mean_date,0.0010,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-27,mean_date,0.0020,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-28,mean_date,0.0020,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-29,mean_date,0.0030,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-30,mean_date,0.0030,cubic metres per second reported to four decimal places,interpolated value:  This indicates a value or string of values that were estimated by linear interpolation between observed values.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-03-31,mean_date,0.0040,cubic metres per second reported to four decimal places,manual gauge observation:  Indicates that the stated value is an estimate based on one or more readings or in combination with partial recorded record.,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-01,mean_date,0.0110,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-02,mean_date,0.0280,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-03,mean_date,0.0350,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-04,mean_date,0.0360,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-05,mean_date,0.0450,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-06,mean_date,0.0390,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-07,mean_date,0.0360,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-08,mean_date,0.0330,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-09,mean_date,0.0290,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-10,mean_date,0.0240,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-11,mean_date,0.0250,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-12,mean_date,0.0510,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-13,mean_date,0.0600,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-14,mean_date,0.0430,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-15,mean_date,0.0400,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-16,mean_date,0.0420,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-17,mean_date,0.0320,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-18,mean_date,0.0260,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-19,mean_date,0.0290,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-20,mean_date,0.0320,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-21,mean_date,0.0270,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-22,mean_date,0.0230,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-23,mean_date,0.0240,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-24,mean_date,0.0210,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-25,mean_date,0.0220,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-26,mean_date,0.0220,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-27,mean_date,0.0200,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-28,mean_date,0.0200,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-29,mean_date,0.0190,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-04-30,mean_date,0.0170,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-05-01,mean_date,0.0160,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-05-02,mean_date,0.0150,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-05-03,mean_date,0.0190,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-05-04,mean_date,0.0160,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-05-05,mean_date,0.0120,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-05-06,mean_date,0.0100,cubic metres per second reported to four decimal places,,,,2017-10-03
MEAN DAILY DISCHARGES,Site1,StreamA - inflow to Site1 lake,Stream Water,2015-05-07,mean_date,0.0350,cubic metres per second reported to four decimal places,,,,2017-10-03
