dataset_name,site,treatment,activity_media_name,activity_start_date,activity_start_time,characteristic_name,result_value,result_unit,update_date,version
Secchi Depths,Site1,none (reference/control),Lake water,2016-05-04,08:45,SECCHI,4.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-05-16,07:28,SECCHI,3.25,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-05-26,08:41,SECCHI,4.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-06-01,10:00,SECCHI,3.25,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-06-08,08:06,SECCHI,4.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2016-06-13,07:27,SECCHI,3.25,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-06-22,08:15,SECCHI,4.50,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-06-27,07:43,SECCHI,2.75,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-07-13,08:10,SECCHI,3.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2016-07-18,07:29,SECCHI,3.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2016-07-27,08:10,SECCHI,3.75,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2016-08-02,07:32,SECCHI,3.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2016-08-10,08:05,SECCHI,3.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2016-08-15,07:40,SECCHI,3.25,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-08-24,08:05,SECCHI,3.75,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2016-08-29,07:45,SECCHI,2.75,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-09-08,08:45,SECCHI,3.25,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-09-12,07:36,SECCHI,2.75,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2016-09-21,08:30,SECCHI,3.50,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-09-26,07:49,SECCHI,2.75,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-10-05,08:38,SECCHI,4.00,metres,2020-04-02,
Secchi Depths,Site1,none (reference/control),Lake water,2016-11-09,09:20,SECCHI,3.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2016-11-09,09:05,SECCHI,3.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-05-01,13:35,SECCHI,3.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-05-03,09:15,SECCHI,3.75,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-05-17,07:39,SECCHI,2.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-05-29,08:35,SECCHI,3.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-05-31,08:12,SECCHI,3.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-06-12,08:15,SECCHI,3.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-06-14,07:27,SECCHI,3.75,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-06-26,08:35,SECCHI,4.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-06-28,08:24,SECCHI,3.75,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-07-10,08:26,SECCHI,4.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-07-12,07:49,SECCHI,4.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-07-31,08:32,SECCHI,5.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-08-02,08:00,SECCHI,3.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-08-14,08:13,SECCHI,5.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-08-16,07:58,SECCHI,4.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-08-28,08:27,SECCHI,5.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-08-30,07:37,SECCHI,4.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-09-11,07:54,SECCHI,5.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-09-13,08:15,SECCHI,3.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-09-25,08:00,SECCHI,4.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-09-27,08:00,SECCHI,3.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2017-10-10,08:05,SECCHI,4.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2018-05-07,08:30,SECCHI,4.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2018-05-23,08:53,SECCHI,4.75,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2018-05-30,07:43,SECCHI,2.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2018-06-04,08:10,SECCHI,4.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2018-06-13,07:22,SECCHI,4.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2018-08-29,07:30,SECCHI,4.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2018-09-04,08:10,SECCHI,4.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2018-10-01,08:50,SECCHI,3.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2018-10-10,08:56,SECCHI,3.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2018-10-29,08:05,SECCHI,3.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-05-06,13:30,SECCHI,5.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-05-06,08:05,SECCHI,3.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-05-22,07:50,SECCHI,2.75,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-05-27,08:54,SECCHI,4.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-06-24,08:11,SECCHI,4.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-07-04,07:45,SECCHI,5.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-07-05,07:45,SECCHI,5.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-07-08,07:57,SECCHI,4.75,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-07-17,07:46,SECCHI,2.75,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-07-29,08:13,SECCHI,3.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-08-07,07:33,SECCHI,3.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-08-26,08:09,SECCHI,4.75,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-09-04,08:17,SECCHI,3.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-09-09,08:07,SECCHI,5.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-09-18,07:52,SECCHI,3.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-09-23,08:33,SECCHI,4.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-10-02,07:30,SECCHI,3.25,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-10-07,08:05,SECCHI,4.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-11-04,09:35,SECCHI,2.00,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2019-11-05,09:50,SECCHI,2.50,metres,2023-04-21,1
Secchi Depths,Site1,none (reference/control),Lake water,2020-05-06,08:08,SECCHI,4.00,metres,2023-04-25,1
Secchi Depths,Site1,none (reference/control),Lake water,2020-06-01,07:50,SECCHI,2.25,metres,2023-04-25,1
Secchi Depths,Site1,none (reference/control),Lake water,2020-06-29,10:00,SECCHI,3.25,metres,2023-04-25,1
Secchi Depths,Site1,none (reference/control),Lake water,2020-07-27,10:00,SECCHI,3.25,metres,2023-04-25,1
Secchi Depths,Site1,none (reference/control),Lake water,2020-08-24,10:00,SECCHI,4.50,metres,2023-04-25,1
Secchi Depths,Site1,none (reference/control),Lake water,2020-09-21,,SECCHI,3.25,metres,2023-04-25,1
Secchi Depths,Site1,none (reference/control),Lake water,2020-10-26,,SECCHI,3.75,metres,2023-04-25,1
Secchi Depths,Site2,none (reference/control),Lake water,2015-05-20,09:40,SECCHI,6.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2015-06-02,15:08,SECCHI,5.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2015-06-16,09:35,SECCHI,7.75,metres,2020-04-02,
Secchi Depths,Site2,none (reference/control),Lake water,2015-06-30,08:05,SECCHI,9.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2015-07-14,08:00,SECCHI,7.00,metres,2020-04-02,
Secchi Depths,Site2,none (reference/control),Lake water,2015-08-11,09:30,SECCHI,7.25,metres,2020-04-02,
Secchi Depths,Site2,none (reference/control),Lake water,2015-08-26,16:10,SECCHI,6.25,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2015-09-09,10:28,SECCHI,5.75,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2015-09-22,07:51,SECCHI,6.50,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2015-10-06,09:27,SECCHI,6.00,metres,2020-04-02,
Secchi Depths,Site2,none (reference/control),Lake water,2015-11-10,11:03,SECCHI,5.50,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2016-05-09,08:44,SECCHI,4.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2016-05-25,07:47,SECCHI,4.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2016-06-07,07:39,SECCHI,7.00,metres,2020-04-02,
Secchi Depths,Site2,none (reference/control),Lake water,2016-06-21,08:10,SECCHI,7.75,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2016-07-12,08:21,SECCHI,4.50,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2016-07-26,08:00,SECCHI,5.25,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2016-08-09,08:09,SECCHI,4.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2016-08-23,08:13,SECCHI,4.50,metres,2020-04-02,
Secchi Depths,Site2,none (reference/control),Lake water,2016-09-07,08:42,SECCHI,5.75,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2016-09-20,08:14,SECCHI,5.25,metres,2020-04-02,
Secchi Depths,Site2,none (reference/control),Lake water,2016-10-04,08:50,SECCHI,5.75,metres,2020-04-02,
Secchi Depths,Site2,none (reference/control),Lake water,2016-11-07,13:47,SECCHI,4.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2017-05-24,08:44,SECCHI,5.25,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2017-06-07,08:02,SECCHI,5.25,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2017-06-20,08:05,SECCHI,6.50,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2017-07-05,08:45,SECCHI,6.50,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2017-07-18,08:05,SECCHI,5.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2017-08-09,08:08,SECCHI,6.25,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2017-08-22,08:44,SECCHI,5.75,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2017-09-06,08:41,SECCHI,6.75,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2017-09-18,08:27,SECCHI,4.50,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2017-10-04,08:08,SECCHI,5.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2018-05-14,08:23,SECCHI,6.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2018-05-28,08:26,SECCHI,6.50,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2018-06-25,08:06,SECCHI,5.25,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2018-08-13,08:05,SECCHI,4.25,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2018-09-24,09:04,SECCHI,5.25,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2019-05-07,08:11,SECCHI,5.50,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2019-05-22,07:52,SECCHI,3.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2019-06-03,08:25,SECCHI,5.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2019-07-03,08:03,SECCHI,7.75,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2019-08-06,08:03,SECCHI,5.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2019-08-19,09:00,SECCHI,6.00,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2019-09-30,08:00,SECCHI,4.75,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2019-11-04,09:00,SECCHI,3.50,metres,2023-04-21,1
Secchi Depths,Site2,none (reference/control),Lake water,2020-05-06,10:45,SECCHI,4.75,metres,2023-04-25,1
Secchi Depths,Site2,none (reference/control),Lake water,2020-05-31,,SECCHI,4.25,metres,2023-04-25,1
Secchi Depths,Site2,none (reference/control),Lake water,2020-06-28,10:00,SECCHI,5.50,metres,2023-04-25,1
Secchi Depths,Site2,none (reference/control),Lake water,2020-07-27,10:00,SECCHI,6.25,metres,2023-04-25,1
Secchi Depths,Site2,none (reference/control),Lake water,2020-08-24,,SECCHI,7.00,metres,2023-04-25,1
Secchi Depths,Site2,none (reference/control),Lake water,2020-09-21,,SECCHI,5.25,metres,2023-04-25,1
Secchi Depths,Site2,none (reference/control),Lake water,2020-10-26,,SECCHI,5.00,metres,2023-04-25,1
