dataset_name,site,treatment,activity_media_name,activity_start_date,activity_start_time,characteristic_name,result_value,result_unit,update_date,version
Secchi Depths,Site4,fertilized,Lake water,2016-07-20,08:23,SECCHI,0.75,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2016-08-03,08:20,SECCHI,1.50,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2016-08-17,08:23,SECCHI,1.25,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2016-08-31,08:00,SECCHI,1.00,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2016-09-14,08:14,SECCHI,0.75,metres,2020-04-02,
Secchi Depths,Site4,fertilized,Lake water,2016-09-28,08:28,SECCHI,0.75,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2016-11-07,09:23,SECCHI,0.75,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2017-05-08,08:40,SECCHI,1.50,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2017-06-19,09:32,SECCHI,1.25,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2017-07-17,08:25,SECCHI,0.75,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2017-08-08,08:30,SECCHI,1.50,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2017-08-21,08:47,SECCHI,1.00,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2017-09-18,09:42,SECCHI,0.75,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2018-05-29,08:35,SECCHI,1.25,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2018-06-12,08:52,SECCHI,1.00,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2018-07-31,08:28,SECCHI,0.75,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2018-09-11,08:24,SECCHI,0.50,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2018-09-25,08:05,SECCHI,0.50,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2019-05-08,09:15,SECCHI,1.75,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2019-05-21,09:55,SECCHI,2.00,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2019-06-04,08:21,SECCHI,2.25,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2019-06-18,08:42,SECCHI,1.25,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2019-07-02,08:21,SECCHI,0.75,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2019-07-16,08:20,SECCHI,1.00,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2019-08-07,08:26,SECCHI,1.75,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2019-09-03,08:52,SECCHI,1.00,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2019-09-17,08:18,SECCHI,1.25,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2019-10-01,08:34,SECCHI,0.75,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2019-10-30,09:00,SECCHI,0.75,metres,2023-04-21,1
Secchi Depths,Site4,fertilized,Lake water,2020-05-07,08:52,SECCHI,1.75,metres,2023-04-25,1
Secchi Depths,Site4,fertilized,Lake water,2020-06-02,08:08,SECCHI,1.25,metres,2023-04-25,1
Secchi Depths,Site4,fertilized,Lake water,2020-06-30,09:00,SECCHI,1.00,metres,2023-04-25,1
Secchi Depths,Site4,fertilized,Lake water,2020-07-28,09:00,SECCHI,2.00,metres,2023-04-25,1
Secchi Depths,Site4,fertilized,Lake water,2020-08-25,,SECCHI,1.00,metres,2023-04-25,1
Secchi Depths,Site4,fertilized,Lake water,2020-09-22,,SECCHI,2.25,metres,2023-04-25,1
Secchi Depths,Site4,fertilized,Lake water,2020-10-23,,SECCHI,1.25,metres,2023-04-25,1
